COD_VAR;LIB_VAR;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
TRBRUTT;Rémunération brute, en tranche;00;Moins de 200 euros;CHAR;2
TRBRUTT;Rémunération brute, en tranche;01;200 à 499 euros;CHAR;2
TRBRUTT;Rémunération brute, en tranche;02;500 à 999 euros;CHAR;2
TRBRUTT;Rémunération brute, en tranche;03;1 000 à 1 499 euro;CHAR;2
TRBRUTT;Rémunération brute, en tranche;04;1 500 à 1 999 euro;CHAR;2
TRBRUTT;Rémunération brute, en tranche;05;2 000 à 2 999 euros;CHAR;2
TRBRUTT;Rémunération brute, en tranche;06;3 000 à 3 999 euros;CHAR;2
TRBRUTT;Rémunération brute, en tranche;07;4 000 à 5 999 euros;CHAR;2
TRBRUTT;Rémunération brute, en tranche;08;6 000 à 7 999 euros;CHAR;2
TRBRUTT;Rémunération brute, en tranche;09;8 000 à 9 999 euros;CHAR;2
TRBRUTT;Rémunération brute, en tranche;10;10 000 à 11 999 euros;CHAR;2
TRBRUTT;Rémunération brute, en tranche;11;12 000 à 13 999 euros;CHAR;2
TRBRUTT;Rémunération brute, en tranche;12;14 000 à 15 999 euros;CHAR;2
TRBRUTT;Rémunération brute, en tranche;13;16 000 à 17 999 euros;CHAR;2
TRBRUTT;Rémunération brute, en tranche;14;18 000 à 19 999 euros;CHAR;2
TRBRUTT;Rémunération brute, en tranche;15;20 000 à 21 999 euros;CHAR;2
TRBRUTT;Rémunération brute, en tranche;16;22 000 à 23 999 euros;CHAR;2
TRBRUTT;Rémunération brute, en tranche;17;24 000 à 25 999 euros;CHAR;2
TRBRUTT;Rémunération brute, en tranche;18;26 000 à 27 999 euros;CHAR;2
TRBRUTT;Rémunération brute, en tranche;19;28 000 à 29 999 euros;CHAR;2
TRBRUTT;Rémunération brute, en tranche;20;30 000 à 34 999 euros;CHAR;2
TRBRUTT;Rémunération brute, en tranche;21;35 000 à 39 999 euros;CHAR;2
TRBRUTT;Rémunération brute, en tranche;22;40 000 à 49 999 euros;CHAR;2
TRBRUTT;Rémunération brute, en tranche;23;50 000 euros et plus;CHAR;2
A6;Nomenclature agrégée A6;;Non renseigné;CHAR;2
A6;Nomenclature agrégée A6;AZ;Agriculture, sylviculture et pêche;CHAR;2
A6;Nomenclature agrégée A6;BE;Industrie manufacturière, industries extractives  et autres;CHAR;2
A6;Nomenclature agrégée A6;FZ;Construction;CHAR;2
A6;Nomenclature agrégée A6;GI;Commerce de gros et de détail, transports, hébergement et restauration;CHAR;2
A6;Nomenclature agrégée A6;JU;Services divers;CHAR;2
A6;Nomenclature agrégée A6;OQ;Administration publique, enseignement, santé humaine et action sociale;CHAR;2
A17;Nomenclature agrégée A17;;Non renseigné;CHAR;2
A17;Nomenclature agrégée A17;AZ;Agriculture, sylviculture et pêche;CHAR;2
A17;Nomenclature agrégée A17;C1;Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac;CHAR;2
A17;Nomenclature agrégée A17;C2;Cokéfaction et raffinage;CHAR;2
A17;Nomenclature agrégée A17;C3;Fabrication d'équipements électriques, électroniques, informatiques , fabrication de machines;CHAR;2
A17;Nomenclature agrégée A17;C4;Fabrication de matériels de transport;CHAR;2
A17;Nomenclature agrégée A17;C5;Fabrication d'autres produits industriels;CHAR;2
A17;Nomenclature agrégée A17;DE;Industries extractives,  énergie, eau, gestion des déchets et dépollution;CHAR;2
A17;Nomenclature agrégée A17;FZ;Construction;CHAR;2
